destination;argument_1;argument_2;operator;maximum_effect;accessibility;probability_of_success;saturation_point
Quality of life other refugees Unemployment reduction;Unemployment reduction other refugees;Effect of unemployment reduction other refugees on QoL other refugees;*;0.0;;;
Unemployment reduction inhabitants;Number of additional jobs inhabitants;Number of inhabitants workforce;/;0.0;;;
Unemployment reduction Ukrainians;Umployment reduction Ukrainians Interventions;0;+;0.0;;;
Unemployment reduction Ukrainians;Number of additional jobs Ukrainians;Number of Ukrainian refugees workforce;/;0.0;;;
Quality of life Ukrainians Unemployment reduction;Unemployment reduction Ukrainians;Effect of unemployment reduction Ukrainians on QoL Ukrainians;*;0.0;;;
Change in number of employed Ukrainian refugees;Umployment reduction Ukrainians Interventions;Number of Ukrainian refugees workforce;*;0.0;;;
Economic impact Ukrainians;Change in number of employed Ukrainian refugees;Average yearly salary Ukrainians;*;0.0;;;
Economic impact Employment;Economic impact Ukrainians;0;+;0.0;;;
Economic impact social benefits Ukr 1;Number of additional jobs Ukrainians;Social benefits Ukrainian refugees;*;0.0;;;
Economic impact social benefits Ukr 2;Change in number of employed Ukrainian refugees;Social benefits Ukrainian refugees;*;0.0;;;
Economic impact social benefits Other refugees;Number of additional jobs other refugees;Social benefits other refugees;*;0.0;;;
Economic impact social benefits Inhabitants;Number of additional jobs inhabitants;Social benefits inhabitants;*;0.0;;;
Economic impact Social benefits;Economic impact social benefits Ukr 1;Economic impact social benefits Ukr 2;+;0.0;;;
Economic impact Social benefits;Economic impact social benefits Other refugees;Economic impact social benefits Inhabitants;+;0.0;;;
Economic impact;Economic impact Employment;Economic impact Investing;+;0.0;;;
Economic impact;Economic impact Social benefits;0;+;0.0;;;
Increase in income inhabitants;Unemployment reduction inhabitants;Effect of unemployment reduction inhabitants on income inhabitants;*;0.0;;;
Quality of life inhabitants Unemployment reduction;Unemployment reduction inhabitants;Effect of unemployment reduction inhabitants on QoL inhabitants;*;0.0;;;
Social cohesion Ukrainians Sports;Sports and association;;squeezed *;0.12;1.0;0.7;1630189.054
Social cohesion Ukrainians Transport;Access to transport;;squeezed *;0.014;1.0;0.6;15216753.91
Social cohesion Ukrainians Language Acq;Language acquisition Ukrainians;Effect of language acquisition Ukrainians on social cohesion Ukrainians;*;0.0;;;
Social cohesion Ukrainians;Social cohesion Ukrainians Sports;Social cohesion Ukrainians Transport;+;0.0;;;
Social cohesion Ukrainians;Social cohesion Ukrainians Language Acq;0;+;0.0;;;
Crime rate reduction;Social cohesion Ukrainians;Effect of social cohesion Ukrainians on crime rate reduction;*;0.0;;;
Crime rate reduction;Increase in income other refugees;Effect of income other refugees on crime rate;*;0.0;;;
Crime rate reduction;Increase in income Ukrainians;Effect of income Ukrainians on crime rate;*;0.0;;;
Personal safety Ukrainians Crime rate;Crime rate reduction;Effect of crime rate on personal safety Ukrainians;*;0.0;;;
Personal safety other refugees;Crime rate reduction;Effect of crime rate on personal safety other refugees;*;0.0;;;
Personal safety inhabitants;Crime rate reduction;Effect of crime rate on personal safety inhabitants;*;0.0;;;
Personal safety Ukrainians Education;Tertiary education completed Ukrainians;Effect of tertiary education completed Ukrainians on personal safety Ukrainians;*;0.0;;;
Personal safety Ukrainians;Personal safety Ukrainians Crime rate;Personal safety Ukrainians Education;+;0.0;;;
Health Ukrainians;Sports and association;;squeezed *;0.22;1.0;0.7;1630189.054
Social participation Ukrainians;Access to transport;;squeezed *;0.537;1.0;0.6;15216753.91
Financial security Ukrainians;Increase in income Ukrainians;Effect of income Ukrainians on financial security Ukrainians;*;0.0;;;
Financial security other refugees;Increase in income other refugees;Effect of income other refugees on financial security other refugees;*;0.0;;;
Financial security inhabitants;Increase in income inhabitants;Effect of income inhabitants on financial security inhabitants;*;0.0;;;
Social trust other refugees;Unemployment reduction other refugees;Effect of unemployment reduction other refugees on social trust other refugees;*;0.0;;;
Quality of life Ukrainians Health;Health Ukrainians;Effect of health Ukrainians on quality of life Ukrainians;*;0.0;;;
Quality of life Ukrainians Financial security;Financial security Ukrainians;Effect of financial security Ukrainians on quality of life Ukrainians;*;0.0;;;
Quality of life Ukrainians Personal safety;Personal safety Ukrainians;Effect of personal safety Ukrainians on quality of life Ukrainians;*;0.0;;;
Quality of life Ukrainians Social cohesion;Social cohesion Ukrainians;Effect of social cohesion Ukrainians on quality of life Ukrainians;*;0.0;;;
Quality of life Ukrainians Social participation;Social participation Ukrainians;Effect of social participation Ukrainians on quality of life Ukrainians;*;0.0;;;
Quality of life Ukrainians;Quality of life Ukrainians Unemployment reduction;Quality of life Ukrainians Social participation;+;0.0;;;
Quality of life Ukrainians;Quality of life Ukrainians Health;Quality of life Ukrainians Financial security;+;0.0;;;
Quality of life Ukrainians;Quality of life Ukrainians Personal safety;Quality of life Ukrainians Social cohesion;+;0.0;;;
Quality of life other refugees Financial security;Financial security other refugees;Effect of financial security other refugees on quality of life other refugees;*;0.0;;;
Quality of life other refugees Social trust;Social trust other refugees;Effect of social trust other refugees on quality of life other refugees;*;0.0;;;
Quality of life other refugees Personal safety;Personal safety other refugees;Effect of personal safety other refugees on quality of life other refugees;*;0.0;;;
Quality of life other refugees;Quality of life other refugees Interventions;Quality of life other refugees Unemployment reduction;+;0.0;;;
Quality of life other refugees;Quality of life other refugees Financial security;Quality of life other refugees Social trust;+;0.0;;;
Quality of life other refugees;Quality of life other refugees Personal safety;0;+;0.0;;;
Quality of life inhabitants Financial security;Financial security inhabitants;Effect of financial security inhabitants on quality of life inhabitants;*;0.0;;;
Quality of life inhabitants Personal safety;Personal safety inhabitants;Effect of personal safety inhabitants on quality of life inhabitants;*;0.0;;;
Quality of life inhabitants;Quality of life inhabitants Interventions;Quality of life inhabitants Unemployment reduction;+;0.0;;;
Quality of life inhabitants;Quality of life inhabitants Financial security;Quality of life inhabitants Personal safety;+;0.0;;;
